"","Classification_orig","Class_orig_short","perc_subsample","ClinicalStudy","Tissue","mean_accuracy","sd_accuracy","se_accuracy"
"114","UniErythroid_UniErythroid","UniEry_UniEry","70%","WAS","BM",0.978571428571429,0.113389341902768,0.0214285714285714
"115","UniErythroid_UniErythroid","UniEry_UniEry","80%","BTHAL","BM",0.997781885397412,0.0260696520419634,0.000792540754818974
"116","UniErythroid_UniErythroid","UniEry_UniEry","80%","MLD","BM",1,0,0
"117","UniErythroid_UniErythroid","UniEry_UniEry","80%","WAS","BM",1,0,0
"118","UniErythroid_UniErythroid","UniEry_UniEry","90%","BTHAL","BM",0.998428835489834,0.0220865554127956,0.000671451052358953
"119","UniErythroid_UniErythroid","UniEry_UniEry","90%","MLD","BM",1,0,0
"120","UniErythroid_UniErythroid","UniEry_UniEry","90%","WAS","BM",0.989285714285714,0.0566946709513841,0.0107142857142857
"121","UniLyB_UniLyB","UniLyB_UniLyB","50%","BTHAL","BM",0.99537037037037,0.0382993333095396,0.0026059395582542
"122","UniLyB_UniLyB","UniLyB_UniLyB","50%","BTHAL","PB",0.99761396011396,0.0269425129378985,0.00152531943208631
"123","UniLyB_UniLyB","UniLyB_UniLyB","50%","MLD","BM",0.994345238095238,0.0399946086329575,0.00308565104624407
"124","UniLyB_UniLyB","UniLyB_UniLyB","50%","MLD","PB",0.988449367088608,0.0682036898849389,0.0024265783885647
"125","UniLyB_UniLyB","UniLyB_UniLyB","50%","WAS","BM",0.966353757751607,0.126307082184826,0.00756180721464214
"126","UniLyB_UniLyB","UniLyB_UniLyB","50%","WAS","PB",0.960973227622659,0.126707518609076,0.00407463910533779
"127","UniLyB_UniLyB","UniLyB_UniLyB","70%","BTHAL","BM",0.994907407407407,0.0564202729582997,0.00383891333045506
"128","UniLyB_UniLyB","UniLyB_UniLyB","70%","BTHAL","PB",0.997115384615385,0.0324460396046301,0.00183689527466343
"129","UniLyB_UniLyB","UniLyB_UniLyB","70%","MLD","BM",0.994047619047619,0.0586294370815609,0.00452335927403827
"130","UniLyB_UniLyB","UniLyB_UniLyB","70%","MLD","PB",0.990958408679928,0.0607914151613159,0.00216286148871967
"131","UniLyB_UniLyB","UniLyB_UniLyB","70%","WAS","BM",0.975119474313023,0.0995010260681792,0.00595697061298311
"132","UniLyB_UniLyB","UniLyB_UniLyB","70%","WAS","PB",0.966862001608641,0.122057329710281,0.00392509911164022
"133","UniLyB_UniLyB","UniLyB_UniLyB","80%","BTHAL","BM",0.996759259259259,0.0352882799887585,0.00240106332980347
"134","UniLyB_UniLyB","UniLyB_UniLyB","80%","BTHAL","PB",0.998076923076923,0.0178278796302258,0.00100930493363995
"135","UniLyB_UniLyB","UniLyB_UniLyB","80%","MLD","BM",0.998809523809524,0.010878178112778,0.000839269662142977
"136","UniLyB_UniLyB","UniLyB_UniLyB","80%","MLD","PB",0.993670886075949,0.041339339331927,0.0014707876889011
"137","UniLyB_UniLyB","UniLyB_UniLyB","80%","WAS","BM",0.984866587017125,0.05878857146284,0.00351957971110201
"138","UniLyB_UniLyB","UniLyB_UniLyB","80%","WAS","PB",0.97854762725497,0.0807793254220693,0.0025976879815875
"139","UniLyB_UniLyB","UniLyB_UniLyB","90%","BTHAL","BM",0.996707818930041,0.0312532470851604,0.00212651411566024
"140","UniLyB_UniLyB","UniLyB_UniLyB","90%","BTHAL","PB",0.999038461538462,0.016984155512169,0.000961538461538463
"141","UniLyB_UniLyB","UniLyB_UniLyB","90%","MLD","BM",0.997619047619048,0.0243536345389186,0.00187892369655382
"142","UniLyB_UniLyB","UniLyB_UniLyB","90%","MLD","PB",0.99379746835443,0.0405851932975826,0.00144395637710772
"143","UniLyB_UniLyB","UniLyB_UniLyB","90%","WAS","BM",0.989964157706093,0.0469156460831511,0.00280876626151521
"144","UniLyB_UniLyB","UniLyB_UniLyB","90%","WAS","PB",0.985981845340687,0.0590274753977104,0.00189819564130938
"145","UniLyT_UniLyT","UniLyT_UniLyT","50%","BTHAL","BM",0.993144208037825,0.03525485705922,0.00514244942520261
"146","UniLyT_UniLyT","UniLyT_UniLyT","50%","BTHAL","PB",0.994193548387097,0.0414645986971947,0.00333051671387722
"147","UniLyT_UniLyT","UniLyT_UniLyT","50%","MLD","BM",0.995299145299145,0.0384701578691412,0.00251487289315059
"148","UniLyT_UniLyT","UniLyT_UniLyT","50%","MLD","PB",0.984364640883978,0.0740071425973834,0.00246008066063455
"149","UniLyT_UniLyT","UniLyT_UniLyT","50%","WAS","BM",0.96983960250767,0.106656050828999,0.00399150238460754
"150","UniLyT_UniLyT","UniLyT_UniLyT","50%","WAS","PB",0.969970516350024,0.112481563480412,0.00269113132731098
"151","UniLyT_UniLyT","UniLyT_UniLyT","70%","BTHAL","BM",0.995744680851064,0.0291729982995789,0.00425531914893617
"152","UniLyT_UniLyT","UniLyT_UniLyT","70%","BTHAL","PB",0.99741935483871,0.0321287731561,0.00258064516129032
"153","UniLyT_UniLyT","UniLyT_UniLyT","70%","MLD","BM",0.996581196581197,0.041291643423189,0.00269931917388661
